game_id,HomeTeam,AwayTeam,HomeScore,AwayScore,Home_xG,Away_xG,Home_shots,Away_shots,Home_corner,Away_corner,Home_PK_Goal,Away_PK_Goal,Home_PK_shots,Away_PK_shots,Home_ToP
game_2023_94,TUC,ALB,1,3,2.52,2,13,15,3,4,0,0,1,0,0.53
game_2023_341,MOB,ALB,3,1,0.46,0.99,11,8,3,6,0,0,0,0,0.56
game_2023_442,CHM,ALB,0,1,1.62,1.16,16,13,1,7,0,0,0,0,0.52
game_2023_50,SAS,ALB,2,1,1.53,0.55,20,2,6,1,0,0,0,0,0.49
game_2023_389,FOR,ALB,0,2,2.15,1.13,18,13,2,0,0,0,0,0,0.71
game_2023_27,FAR,ALB,3,2,2.26,1.16,17,10,8,6,0,0,1,0,0.69
game_2023_187,PRO,ALB,4,1,2.59,2.23,21,16,1,5,0,0,1,0,0.52
game_2023_366,TAC,ALB,3,3,0.36,1.21,6,7,3,5,0,0,0,0,0.56
game_2023_258,REN,ALB,0,1,0.8,0.8,22,6,6,6,0,0,0,0,0.57
game_2023_470,BOI,ALB,0,3,1.37,0.97,15,21,7,7,0,0,1,0,0.48
game_2023_162,WIC,ALB,2,2,1.36,2.24,22,23,0,5,0,0,0,0,0.6
game_2023_241,OAK,ALB,2,2,1.6,1.43,12,19,7,5,0,0,0,0,0.47
game_2023_308,BAK,ALB,3,3,1.53,1.18,11,13,5,2,0,0,0,0,0.48
game_2023_204,SFS,ALB,2,0,1.52,0.53,12,10,2,3,0,0,0,0,0.54
game_2023_134,SPR,ALB,7,2,0.92,1.28,11,14,7,3,0,0,1,0,0.5
game_2023_120,ANC,ALB,3,2,3.27,1.48,28,13,5,6,0,0,1,0,0.52
game_2023_80,EUG,ALB,1,1,0.83,1.48,12,16,4,3,0,0,1,0,0.5
game_2023_289,REN,ANC,0,0,0.55,0.13,3,18,3,4,0,0,1,1,0.54
game_2023_313,SPR,ANC,3,2,1.6,0.67,19,7,8,3,1,0,1,0,0.49
game_2023_156,TAC,ANC,4,0,1.34,0.94,13,10,10,7,1,0,1,0,0.4
game_2023_349,EUG,ANC,2,5,1.56,1.09,12,9,8,2,0,0,0,0,0.42
game_2023_253,BOI,ANC,1,2,1.33,1.18,16,18,4,7,0,0,0,0,0.51
game_2023_75,SAS,ANC,1,2,2.49,0.82,25,11,7,3,0,0,0,0,0.35
game_2023_42,TUC,ANC,2,0,1.67,0.95,14,16,5,2,0,0,0,0,0.58
game_2023_87,BAK,ANC,2,2,2.59,1.09,19,19,13,2,0,0,0,0,0.51
game_2023_208,AUG,ANC,2,3,0.72,1.26,12,10,2,3,0,0,0,0,0.66
game_2023_464,FOR,ANC,0,2,2.14,1.31,11,10,2,3,0,0,0,0,0.58
game_2023_383,OAK,ANC,0,7,1.43,1.66,21,10,4,2,0,0,0,0,0.43
game_2023_398,SJU,ANC,0,0,0.46,0.56,7,2,4,5,0,0,0,0,0.53
game_2023_4,FAR,ANC,0,1,2.27,1.08,4,14,8,3,0,0,0,0,0.51
game_2023_370,DOV,ANC,5,0,2.31,0.3,17,6,3,4,0,0,0,0,0.59
game_2023_217,ALB,ANC,3,5,0.41,1.9,9,17,4,4,0,0,1,0,0.53
game_2023_129,WIC,ANC,0,4,0.71,1.49,10,14,5,6,0,0,0,0,0.59
game_2023_431,SFS,ANC,2,1,2.31,0.81,5,13,4,6,0,0,0,0,0.52
game_2023_339,PRO,AUG,1,3,2.28,1.58,17,16,2,5,0,0,0,0,0.43
game_2023_230,LEX,AUG,1,1,1.48,0.92,10,14,5,1,0,0,0,1,0.45
game_2023_327,CHM,AUG,0,1,1.28,1.3,14,9,8,5,0,0,0,0,0.43
game_2023_21,EUG,AUG,2,1,1.16,1.44,10,11,5,5,0,0,0,0,0.53
game_2023_11,SFS,AUG,1,1,1.34,1.2,6,11,2,1,0,0,0,0,0.54
game_2023_67,MOB,AUG,2,2,1.43,0.36,8,9,3,3,0,0,0,1,0.43
game_2023_401,LAR,AUG,0,3,0.84,1.38,14,15,4,4,0,0,0,0,0.36
game_2023_469,LRO,AUG,1,2,1.64,0.86,7,12,5,9,0,1,0,1,0.55
game_2023_364,MAN,AUG,0,2,1.9,0.88,15,8,4,4,0,0,0,0,0.58
game_2023_380,TOL,AUG,0,0,0.34,1.13,2,15,11,3,0,0,0,0,0.5
game_2023_264,SAS,AUG,1,1,1.33,1.14,12,10,1,2,0,0,0,0,0.5
game_2023_161,SJU,AUG,2,3,1.25,0.75,6,8,6,3,0,0,0,0,0.45
game_2023_283,SPR,AUG,4,1,0.73,0.99,16,13,3,4,0,0,1,1,0.35
game_2023_223,DOV,AUG,4,0,3.64,0.55,22,9,3,11,0,0,0,0,0.42
game_2023_185,BAK,AUG,0,1,1.37,0.81,16,12,8,10,0,0,0,0,0.46
game_2023_307,JAC,AUG,2,1,2.21,1.1,16,8,8,0,0,0,0,1,0.53
game_2023_414,DES,AUG,2,3,2.17,2.05,15,19,3,6,0,0,0,0,0.47
game_2023_170,SAS,BAK,1,0,1.04,0.22,15,10,5,2,0,0,0,0,0.67
game_2023_325,ANC,BAK,1,0,2.32,0.12,15,5,8,6,0,0,0,0,0.55
game_2023_84,FOR,BAK,2,1,2.11,1.03,14,11,9,6,0,0,0,0,0.57
game_2023_293,TUC,BAK,1,1,1.12,1.37,13,15,6,9,0,0,0,0,0.72
game_2023_41,SPR,BAK,3,3,0.9,1.18,11,8,4,4,0,0,0,1,0.48
game_2023_122,FAR,BAK,2,2,2.63,1.37,25,3,4,4,0,0,0,0,0.54
game_2023_5,DOV,BAK,0,0,1.9,0.56,17,6,5,3,0,0,0,0,0.53
game_2023_228,SFS,BAK,3,3,2.94,2.15,20,19,7,3,0,0,0,0,0.53
game_2023_433,TAC,BAK,4,2,2.26,0.81,14,20,9,8,0,0,0,0,0.57
game_2023_345,OAK,BAK,0,1,1.05,0.98,12,14,3,2,0,0,0,0,0.62
game_2023_219,PRO,BAK,2,2,1.61,0.73,19,12,5,7,0,0,1,0,0.55
game_2023_412,ALB,BAK,1,0,0.67,0.77,16,17,5,3,0,0,0,0,0.52
game_2023_210,LAR,BAK,2,0,1.52,0.43,18,2,6,4,1,0,1,0,0.54
game_2023_388,BOI,BAK,3,0,1.02,0.75,13,2,9,5,0,0,0,0,0.52
game_2023_451,WIC,BAK,1,2,1.79,0.93,16,8,7,3,0,0,0,1,0.55
game_2023_152,REN,BAK,2,4,2.19,0.84,20,11,8,2,0,0,0,0,0.58
game_2023_250,EUG,BAK,0,2,0.86,1.42,18,10,4,4,0,0,1,0,0.48
game_2023_402,FAR,BOI,2,0,2.55,0.57,19,7,6,3,0,0,0,0,0.55
game_2023_192,EUG,BOI,4,3,1.16,1.64,19,15,5,6,0,0,0,0,0.41
game_2023_454,SFS,BOI,1,1,1.47,0.83,25,12,5,1,0,0,0,1,0.63
game_2023_35,LAR,BOI,3,0,2.03,0.5,14,7,4,5,0,0,0,0,0.5
game_2023_174,JAC,BOI,0,2,0.52,1.18,17,10,9,3,0,0,0,0,0.56
game_2023_12,TUC,BOI,1,5,1.06,2.09,17,14,7,7,0,0,1,1,0.53
game_2023_375,SAS,BOI,3,3,2.42,1.32,11,17,8,0,0,0,0,0,0.53
game_2023_267,LRO,BOI,1,2,1.4,0.99,18,9,5,2,0,0,1,1,0.53
game_2023_96,AUG,BOI,2,1,1.77,0.67,16,6,8,3,0,0,0,0,0.56
game_2023_309,WIC,BOI,3,3,1.54,1.18,17,19,12,7,0,0,2,0,0.62
game_2023_105,ALB,BOI,1,1,1.64,1.95,15,14,6,2,0,0,0,0,0.53
game_2023_138,OAK,BOI,2,3,0.72,1.39,4,18,5,4,0,0,0,0,0.54
game_2023_69,ANC,BOI,1,1,1.74,1.25,4,13,16,2,0,0,0,0,0.63
game_2023_243,BAK,BOI,1,0,1.83,0.24,28,7,5,5,0,0,0,0,0.46
game_2023_346,REN,BOI,1,1,0.51,1.5,9,16,8,3,0,0,0,0,0.69
game_2023_57,TAC,BOI,0,2,1.57,1.01,17,15,4,0,0,0,0,0,0.61
game_2023_427,FOR,BOI,6,3,2.82,0.82,11,5,8,6,0,0,0,0,0.45
game_2023_215,BOI,CHM,1,1,0.34,0.35,13,4,3,7,0,0,0,0,0.53
game_2023_421,PRO,CHM,0,1,0.94,0.97,16,16,2,6,0,0,0,0,0.42
game_2023_252,MAN,CHM,0,2,1.17,1.67,11,13,5,7,0,0,0,1,0.44
game_2023_128,LAR,CHM,3,3,3.65,0.93,29,7,9,3,0,0,0,0,0.64
game_2023_225,MOB,CHM,1,1,0.32,0.6,11,10,4,1,0,0,0,0,0.63
game_2023_74,DOV,CHM,2,2,1.97,0.78,27,3,8,4,0,0,1,0,0.31
game_2023_99,TAC,CHM,0,2,1.57,1.45,17,9,3,2,0,0,0,0,0.53
game_2023_335,ANC,CHM,1,0,2.38,0.37,16,3,8,2,0,0,0,0,0.42
game_2023_462,TOL,CHM,0,3,1.67,1.6,27,16,7,8,0,0,0,0,0.46
game_2023_369,LEX,CHM,2,1,1.55,0.83,8,11,3,10,0,1,0,1,0.35
game_2023_459,DES,CHM,2,3,0.87,0.55,6,16,0,4,0,0,1,0,0.52
game_2023_180,LRO,CHM,1,1,2.25,0.92,17,14,5,7,0,0,0,0,0.69
game_2023_15,WIC,CHM,1,1,1.29,0.91,16,11,13,4,0,0,0,0,0.46
