,Team,goalsFor,goalsAgainst,xGFor,xGAgainst,shotsFor,shotsAgainst,cornersFor,cornersAgainst,pkFor,pkAgainst,pkShotsFor,pkShotsAgainst,possessionPct,isHome,Result,PointsGained
0,PRO,1,1,1.63,0.34,17,8,5,4,0,0,0,0,0.53,1,0,1
1,MAN,1,1,0.34,1.63,8,17,4,5,0,0,0,0,0.47,0,0,1
2,REN,1,1,0.7,0.17,7,7,4,6,0,0,0,0,0.57,1,0,1
3,OAK,1,1,0.17,0.7,7,7,6,4,0,0,0,0,0.43000000000000005,0,0,1
4,ANC,2,1,2.71,0.66,26,13,9,5,0,0,0,0,0.53,1,1,3
5,DES,1,2,0.66,2.71,13,26,5,9,0,0,0,0,0.47,0,-1,0
6,SAS,1,0,1.44,0.65,15,14,7,4,0,0,1,0,0.5,1,1,3
7,TUC,0,1,0.65,1.44,14,15,4,7,0,0,0,1,0.5,0,-1,0
8,DOV,2,0,1.34,0.41,14,8,5,9,0,0,0,0,0.46,1,1,3
9,JAC,0,2,0.41,1.34,8,14,9,5,0,0,0,0,0.54,0,-1,0
10,SJU,2,3,1.61,1.09,14,9,4,2,0,0,0,0,0.32,1,-1,0
11,LAR,3,2,1.09,1.61,9,14,2,4,0,0,0,0,0.6799999999999999,0,1,3
12,SFS,2,1,1.72,1.65,11,15,3,1,0,0,0,0,0.66,1,1,3
13,OAK,1,2,1.65,1.72,15,11,1,3,0,0,0,0,0.33999999999999997,0,-1,0
14,ALB,1,1,1.64,1.95,15,14,6,2,0,0,0,0,0.53,1,0,1
15,BOI,1,1,1.95,1.64,14,15,2,6,0,0,0,0,0.47,0,0,1
16,WIC,1,1,2.04,1.07,17,13,2,1,0,0,0,0,0.56,1,0,1
17,REN,1,1,1.07,2.04,13,17,1,2,0,0,0,0,0.43999999999999995,0,0,1
18,FOR,1,7,1.38,1.51,16,13,7,2,0,0,0,0,0.67,1,-1,0
19,EUG,7,1,1.51,1.38,13,16,2,7,0,0,0,0,0.32999999999999996,0,1,3
20,PRO,0,4,0.97,1.74,23,16,1,0,0,0,0,0,0.37,1,-1,0
21,LRO,4,0,1.74,0.97,16,23,0,1,0,0,0,0,0.63,0,1,3
22,LEX,1,0,1.02,0.24,20,10,8,4,0,0,1,0,0.45,1,1,3
23,FAR,0,1,0.24,1.02,10,20,4,8,0,0,0,1,0.55,0,-1,0
24,SFS,1,1,1.34,1.2,6,11,2,1,0,0,0,0,0.54,1,0,1
25,AUG,1,1,1.2,1.34,11,6,1,2,0,0,0,0,0.45999999999999996,0,0,1
26,TOL,3,1,1.35,0.7,13,15,5,3,1,0,1,0,0.64,1,1,3
27,SPR,1,3,0.7,1.35,15,13,3,5,0,1,0,1,0.36,0,-1,0
28,AUG,1,0,2.22,0.27,22,6,6,3,0,0,0,0,0.58,1,1,3
29,MOB,0,1,0.27,2.22,6,22,3,6,0,0,0,0,0.42000000000000004,0,-1,0
30,JAC,1,2,2.15,1.39,15,12,6,2,0,0,1,0,0.39,1,-1,0
31,LRO,2,1,1.39,2.15,12,15,2,6,0,0,0,1,0.61,0,1,3
32,TUC,3,1,2.8,1.36,21,9,10,3,0,0,0,0,0.4,1,1,3
33,FOR,1,3,1.36,2.8,9,21,3,10,0,0,0,0,0.6,0,-1,0
34,MOB,1,1,2.18,0.92,16,8,0,4,0,0,0,0,0.65,1,0,1
35,LEX,1,1,0.92,2.18,8,16,4,0,0,0,0,0,0.35,0,0,1
36,TOL,2,1,1.43,0.54,19,13,7,4,0,0,0,0,0.42,1,1,3
37,DES,1,2,0.54,1.43,13,19,4,7,0,0,0,0,0.5800000000000001,0,-1,0
38,TAC,1,2,0.41,0.62,11,8,2,2,0,1,1,2,0.56,1,-1,0
39,SAS,2,1,0.62,0.41,8,11,2,2,1,0,2,1,0.43999999999999995,0,1,3
40,CHM,3,1,1.52,0.32,19,6,2,6,0,0,2,0,0.43,1,1,3
41,SJU,1,3,0.32,1.52,6,19,6,2,0,0,0,2,0.5700000000000001,0,-1,0
42,BOI,1,1,2.02,0.54,16,2,5,2,0,0,0,0,0.37,1,0,1
43,SFS,1,1,0.54,2.02,2,16,2,5,0,0,0,0,0.63,0,0,1
44,LAR,0,1,1.27,0.47,11,11,9,4,0,0,0,0,0.66,1,-1,0
45,PRO,1,0,0.47,1.27,11,11,4,9,0,0,0,0,0.33999999999999997,0,1,3
46,TUC,1,5,1.06,2.09,17,14,7,7,0,0,1,1,0.53,1,-1,0
47,BOI,5,1,2.09,1.06,14,17,7,7,0,0,1,1,0.47,0,1,3
48,ANC,3,2,3.27,1.48,28,13,5,6,0,0,1,0,0.52,1,1,3
49,ALB,2,3,1.48,3.27,13,28,6,5,0,0,0,1,0.48,0,-1,0
50,MAN,0,0,1.44,1.03,18,11,2,7,0,0,0,0,0.44,1,0,1
51,SPR,0,0,1.03,1.44,11,18,7,2,0,0,0,0,0.56,0,0,1
52,FAR,2,2,2.63,1.37,25,3,4,4,0,0,0,0,0.54,1,0,1
53,BAK,2,2,1.37,2.63,3,25,4,4,0,0,0,0,0.45999999999999996,0,0,1
54,OAK,1,1,0.98,1.48,16,19,7,3,0,0,0,0,0.6,1,0,1
55,DOV,1,1,1.48,0.98,19,16,3,7,0,0,0,0,0.4,0,0,1
56,AUG,3,1,2.61,1.03,17,13,4,10,0,0,0,0,0.54,1,1,3
57,WIC,1,3,1.03,2.61,13,17,10,4,0,0,0,0,0.45999999999999996,0,-1,0
58,LEX,2,0,2.61,0.78,21,12,3,7,0,0,0,0,0.6,1,1,3
59,MOB,0,2,0.78,2.61,12,21,7,3,0,0,0,0,0.4,0,-1,0
60,LRO,2,1,1.16,0.82,16,14,1,5,0,0,1,0,0.61,1,1,3
61,MAN,1,2,0.82,1.16,14,16,5,1,0,0,0,1,0.39,0,-1,0
62,BAK,0,2,1.01,1.08,24,15,3,6,0,0,0,0,0.53,1,-1,0
63,LEX,2,0,1.08,1.01,15,24,6,3,0,0,0,0,0.47,0,1,3
64,LAR,3,3,3.65,0.93,29,7,9,3,0,0,0,0,0.64,1,0,1
65,CHM,3,3,0.93,3.65,7,29,3,9,0,0,0,0,0.36,0,0,1
66,WIC,0,4,0.71,1.49,10,14,5,6,0,0,0,0,0.59,1,-1,0
67,ANC,4,0,1.49,0.71,14,10,6,5,0,0,0,0,0.41000000000000003,0,1,3
68,LRO,1,1,2.17,0.23,13,5,8,5,0,0,0,1,0.44,1,0,1
69,TAC,1,1,0.23,2.17,5,13,5,8,0,0,1,0,0.56,0,0,1
70,SJU,5,4,3.29,1.15,17,12,6,5,0,0,0,0,0.46,1,1,3
71,TUC,4,5,1.15,3.29,12,17,5,6,0,0,0,0,0.54,0,-1,0
72,DES,2,0,1.8,0.98,17,11,12,4,0,0,0,0,0.53,1,1,3
73,PRO,0,2,0.98,1.8,11,17,4,12,0,0,0,0,0.47,0,-1,0
74,JAC,3,1,0.53,0.63,6,9,4,2,0,0,1,0,0.59,1,1,3
75,TOL,1,3,0.63,0.53,9,6,2,4,0,0,0,1,0.41000000000000003,0,-1,0
76,FAR,2,2,2.04,1.83,21,11,10,5,0,0,0,0,0.66,1,0,1
77,DOV,2,2,1.83,2.04,11,21,5,10,0,0,0,0,0.33999999999999997,0,0,1
78,SPR,7,2,0.92,1.28,11,14,7,3,0,0,1,0,0.5,1,1,3
79,ALB,2,7,1.28,0.92,14,11,3,7,0,0,0,1,0.5,0,-1,0
80,SAS,4,1,1.05,1.21,18,13,5,9,0,0,0,0,0.57,1,1,3
81,REN,1,4,1.21,1.05,13,18,9,5,0,0,0,0,0.43000000000000005,0,-1,0
82,AUG,2,1,2.51,1.46,19,12,6,4,0,0,0,0,0.53,1,1,3
83,TAC,1,2,1.46,2.51,12,19,4,6,0,0,0,0,0.47,0,-1,0
84,FOR,1,3,1.11,1.16,9,12,6,1,0,0,0,0,0.55,1,-1,0
85,SFS,3,1,1.16,1.11,12,9,1,6,0,0,0,0,0.44999999999999996,0,1,3
86,OAK,2,3,0.72,1.39,4,18,5,4,0,0,0,0,0.54,1,-1,0
87,BOI,3,2,1.39,0.72,18,4,4,5,0,0,0,0,0.45999999999999996,0,1,3
88,EUG,0,1,1.13,0.69,16,8,7,4,0,0,0,0,0.45,1,-1,0
89,MOB,1,0,0.69,1.13,8,16,4,7,0,0,0,0,0.55,0,1,3
90,ANC,1,0,1.74,1.0,17,9,4,5,0,0,0,0,0.36,1,1,3
91,LRO,0,1,1.0,1.74,9,17,5,4,0,0,0,0,0.64,0,-1,0
92,BOI,1,1,1.51,0.36,19,10,5,8,0,0,0,0,0.45,1,0,1
93,FOR,1,1,0.36,1.51,10,19,8,5,0,0,0,0,0.55,0,0,1
94,MAN,1,1,1.28,1.77,16,11,8,5,0,0,0,0,0.61,1,0,1
95,LEX,1,1,1.77,1.28,11,16,5,8,0,0,0,0,0.39,0,0,1
96,AUG,1,1,1.91,0.29,15,3,8,6,0,0,0,0,0.53,1,0,1
97,CHM,1,1,0.29,1.91,3,15,6,8,0,0,0,0,0.47,0,0,1
98,SFS,1,1,1.06,1.23,5,11,3,4,0,0,0,0,0.6,1,0,1
99,SAS,1,1,1.23,1.06,11,5,4,3,0,0,0,0,0.4,0,0,1
100,PRO,2,0,0.91,0.23,4,6,9,3,1,0,1,0,0.57,1,1,3
101,SJU,0,2,0.23,0.91,6,4,3,9,0,1,0,1,0.43000000000000005,0,-1,0
102,ANC,1,1,1.18,1.27,9,16,1,6,0,0,1,0,0.39,1,0,1
103,FAR,1,1,1.27,1.18,16,9,6,1,0,0,0,1,0.61,0,0,1
104,DES,0,2,0.21,0.92,8,3,5,7,0,0,0,0,0.55,1,-1,0
105,JAC,2,0,0.92,0.21,3,8,7,5,0,0,0,0,0.44999999999999996,0,1,3
106,TUC,0,2,0.65,0.72,9,5,6,0,0,0,0,0,0.38,1,-1,0
107,OAK,2,0,0.72,0.65,5,9,0,6,0,0,0,0,0.62,0,1,3
108,MOB,1,2,2.18,1.17,20,11,9,3,0,0,0,0,0.48,1,-1,0
109,TOL,2,1,1.17,2.18,11,20,3,9,0,0,0,0,0.52,0,1,3
110,DOV,4,4,2.74,1.95,20,14,6,5,0,0,0,0,0.6,1,0,1
111,SPR,4,4,1.95,2.74,14,20,5,6,0,0,0,0,0.4,0,0,1
112,WIC,1,1,1.29,0.91,16,11,13,4,0,0,0,0,0.46,1,0,1
113,CHM,1,1,0.91,1.29,11,16,4,13,0,0,0,0,0.54,0,0,1
114,EUG,2,1,1.58,0.45,10,9,7,5,0,0,0,1,0.39,1,1,3
115,WIC,1,2,0.45,1.58,9,10,5,7,0,0,1,0,0.61,0,-1,0
116,ALB,1,0,1.66,0.56,17,10,5,2,0,0,0,1,0.41,1,1,3
117,TAC,0,1,0.56,1.66,10,17,2,5,0,0,1,0,0.5900000000000001,0,-1,0
118,REN,2,4,2.19,0.84,20,11,8,2,0,0,0,0,0.58,1,-1,0
119,BAK,4,2,0.84,2.19,11,20,2,8,0,0,0,0,0.42000000000000004,0,1,3
120,LRO,1,2,1.03,1.66,7,12,3,5,0,0,1,0,0.57,1,-1,0
121,LAR,2,1,1.66,1.03,12,7,5,3,0,0,0,1,0.43000000000000005,0,1,3
122,FAR,2,0,2.09,0.14,19,2,3,2,0,0,0,0,0.58,1,1,3
123,FOR,0,2,0.14,2.09,2,19,2,3,0,0,0,0,0.42000000000000004,0,-1,0
124,SPR,2,0,0.22,0.34,9,14,5,6,0,0,0,0,0.44,1,1,3
125,MAN,0,2,0.34,0.22,14,9,6,5,0,0,0,0,0.56,0,-1,0
126,TAC,4,0,1.34,0.94,13,10,10,7,1,0,1,0,0.4,1,1,3
127,ANC,0,4,0.94,1.34,10,13,7,10,0,1,0,1,0.6,0,-1,0
128,EUG,0,3,0.59,1.6,15,15,8,4,0,0,0,0,0.43,1,-1,0
129,SAS,3,0,1.6,0.59,15,15,4,8,0,0,0,0,0.5700000000000001,0,1,3
130,BAK,0,0,1.02,1.06,9,14,7,5,0,0,0,0,0.43,1,0,1
